ticker,N,MAPE,date_start,date_end,model_type,notes,n_epochs,sentiment_variance
FB,203,4.835466216939645,2020-05-22 00:00:00,2021-02-20 00:00:00,arima, ,,0.34868653756804757
FB,203,6.225982579453911,2020-05-22 00:00:00,2021-02-20 00:00:00,prophet, ,,0.34868653756804757
FB,207,36.03659157865662,2020-05-18 00:00:00,2021-02-20 00:00:00,lstm1,loss stopped changing,5.0,0.34868653756804757
FB,207,33.47541835207711,2020-05-18 00:00:00,2021-02-20 00:00:00,lstm2,loss stopped changing,6.0,0.34868653756804757
GOOGL,115,6.683265390201752,2020-09-15 00:00:00,2021-02-17 00:00:00,arima, ,,0.34242517908447345
GOOGL,115,7.812539553836688,2020-09-15 00:00:00,2021-02-17 00:00:00,prophet, ,,0.34242517908447345
GOOGL,119,28.521268278909584,2020-09-09 00:00:00,2021-02-17 00:00:00,lstm1,loss stopped changing,5.0,0.34242517908447345
GOOGL,119,25.54069154005734,2020-09-09 00:00:00,2021-02-17 00:00:00,lstm2,loss started increasing,8.0,0.34242517908447345
GOOG,116,6.475943895515464,2020-09-15 00:00:00,2021-02-18 00:00:00,arima, ,,0.3415397359279474
GOOG, , , , , ,error during prophet,,0.3415397359279474
GOOG,120,15.903496304344836,2020-09-09 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,9.0,0.3415397359279474
GOOG,120,18.52356822904029,2020-09-09 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,12.0,0.3415397359279474
NVDA,120,3.4269271385771267,2020-09-17 00:00:00,2021-02-18 00:00:00,arima, ,,0.2546391089056101
NVDA,120,4.13054526734944,2020-09-17 00:00:00,2021-02-18 00:00:00,prophet, ,,0.2546391089056101
NVDA,124,59.44448427715883,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,12.0,0.2546391089056101
NVDA,124,52.81803943160771,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,7.0,0.2546391089056101
MA,115,120.602721761327,2020-09-22 00:00:00,2021-02-18 00:00:00,arima, ,,0.16020101259957814
MA,115,137.40999847370406,2020-09-22 00:00:00,2021-02-18 00:00:00,prophet, ,,0.16020101259957814
MA,119,81.93672935391719,2020-09-16 00:00:00,2021-02-18 00:00:00,lstm1,loss started increasing,4.0,0.16020101259957814
MA,119,82.3309666967427,2020-09-16 00:00:00,2021-02-18 00:00:00,lstm2,loss started increasing,4.0,0.16020101259957814
BAC,120,43.291753229222394,2020-09-16 00:00:00,2021-02-18 00:00:00,arima, ,,0.3069408521781783
BAC,120,59.10916671874759,2020-09-16 00:00:00,2021-02-18 00:00:00,prophet, ,,0.3069408521781783
BAC,124,58.44621373035693,2020-09-10 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,7.0,0.3069408521781783
BAC,124,67.12213836197361,2020-09-10 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,6.0,0.3069408521781783
NFLX,119,5.864668894960672,2020-09-17 00:00:00,2021-02-18 00:00:00,arima, ,,0.25023939032041403
NFLX,119,7.708409295027957,2020-09-17 00:00:00,2021-02-18 00:00:00,prophet, ,,0.25023939032041403
NFLX,123,18.97031798803577,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,31.0,0.25023939032041403
NFLX,123,22.382056253543254,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,31.0,0.25023939032041403
CMCSA,115,12.342336272040127,2020-09-16 00:00:00,2021-02-17 00:00:00,arima, ,,0.24471074702647236
CMCSA,115,12.569472392201506,2020-09-16 00:00:00,2021-02-17 00:00:00,prophet, ,,0.24471074702647236
CMCSA,119,17.751498500833822,2020-09-10 00:00:00,2021-02-17 00:00:00,lstm1,loss started increasing,7.0,0.24471074702647236
CMCSA,119,18.47637611650958,2020-09-10 00:00:00,2021-02-17 00:00:00,lstm2,loss stopped changing,7.0,0.24471074702647236
ABT,113,4.3945292642754135,2020-09-14 00:00:00,2021-02-17 00:00:00,arima, ,,0.16055510552627553
ABT,113,4.9983055882579706,2020-09-14 00:00:00,2021-02-17 00:00:00,prophet, ,,0.16055510552627553
ABT,117,33.25282371780232,2020-09-08 00:00:00,2021-02-17 00:00:00,lstm1,loss stopped changing,12.0,0.16055510552627553
ABT,117,34.22261968711871,2020-09-08 00:00:00,2021-02-17 00:00:00,lstm2,loss stopped changing,13.0,0.16055510552627553
T,119,285.54439917109795,2020-09-18 00:00:00,2021-02-18 00:00:00,arima, ,,0.3720188114222183
T,119,348.8016889441611,2020-09-18 00:00:00,2021-02-18 00:00:00,prophet, ,,0.3720188114222183
T,123,135.26363877401374,2020-09-14 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,31.0,0.3720188114222183
T,123,128.69996022656107,2020-09-14 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,21.0,0.3720188114222183
AVGO,115,5.433227534207608,2020-09-04 00:00:00,2021-02-17 00:00:00,arima, ,,0.262821148155587
AVGO,115,5.955652228631244,2020-09-04 00:00:00,2021-02-17 00:00:00,prophet, ,,0.262821148155587
AVGO,119,11.508664268568783,2020-08-31 00:00:00,2021-02-17 00:00:00,lstm1,loss stopped changing,12.0,0.262821148155587
AVGO,119,17.83773141503894,2020-08-31 00:00:00,2021-02-17 00:00:00,lstm2,loss stopped changing,9.0,0.262821148155587
TMO,111,3.9468168591526993,2020-09-11 00:00:00,2021-02-17 00:00:00,arima, ,,0.17240831079931856
TMO,111,5.440056838967147,2020-09-11 00:00:00,2021-02-17 00:00:00,prophet, ,,0.17240831079931856
TMO,115,31.557248977817782,2020-09-04 00:00:00,2021-02-17 00:00:00,lstm1,loss stopped changing,14.0,0.17240831079931856
TMO,115,25.384880849973307,2020-09-04 00:00:00,2021-02-17 00:00:00,lstm2,loss started increasing,15.0,0.17240831079931856
ABBV,115,18.303853697230974,2020-09-21 00:00:00,2021-02-18 00:00:00,arima, ,,0.25567265019240576
ABBV,115,21.79156478486462,2020-09-21 00:00:00,2021-02-18 00:00:00,prophet, ,,0.25567265019240576
ABBV,119,22.809032139514127,2020-09-15 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,5.0,0.25567265019240576
ABBV,119,25.209770819267046,2020-09-15 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,7.0,0.25567265019240576
PEP,113,8.429123467305617,2020-09-16 00:00:00,2021-02-18 00:00:00,arima, ,,0.18063034262014935
PEP,113,10.5915694921161,2020-09-16 00:00:00,2021-02-18 00:00:00,prophet, ,,0.18063034262014935
PEP,117,11.610240521614255,2020-09-10 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,4.0,0.18063034262014935
PEP,117,13.982007050370107,2020-09-10 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,5.0,0.18063034262014935
QCOM,119,3.8374292331569277,2020-09-17 00:00:00,2021-02-18 00:00:00,arima, ,,0.2895255281518311
QCOM,119,4.83675474359356,2020-09-17 00:00:00,2021-02-18 00:00:00,prophet, ,,0.2895255281518311
QCOM,123,23.829471644994786,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,20.0,0.2895255281518311
QCOM,123,22.775398502598776,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,17.0,0.2895255281518311
LLY,112,8.55031817364591,2020-09-10 00:00:00,2021-02-17 00:00:00,arima, ,,0.29675620940092107
LLY,112,9.778688018554085,2020-09-10 00:00:00,2021-02-17 00:00:00,prophet, ,,0.29675620940092107
LLY,116,33.407388546687,2020-09-03 00:00:00,2021-02-17 00:00:00,lstm1,loss stopped changing,12.0,0.29675620940092107
LLY,116,37.07532539034916,2020-09-03 00:00:00,2021-02-17 00:00:00,lstm2,loss started increasing,8.0,0.29675620940092107
WFC,117,3.596919620301305,2020-09-21 00:00:00,2021-02-18 00:00:00,arima, ,,0.2189365762718035
WFC,117,4.983526798031434,2020-09-21 00:00:00,2021-02-18 00:00:00,prophet, ,,0.2189365762718035
WFC,121,7.502645054116446,2020-09-15 00:00:00,2021-02-18 00:00:00,lstm1,loss started increasing,11.0,0.2189365762718035
WFC,121,7.476919193520122,2020-09-15 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,9.0,0.2189365762718035
GE,120,61.120315320447695,2020-09-16 00:00:00,2021-02-18 00:00:00,arima, ,,0.24028859457639556
GE,120,117.12607360553413,2020-09-16 00:00:00,2021-02-18 00:00:00,prophet, ,,0.24028859457639556
GE,124,64.70173172149795,2020-09-10 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,14.0,0.24028859457639556
GE,124,62.895207027937005,2020-09-10 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,12.0,0.24028859457639556
BLK,110,6.801848469613882,2020-09-11 00:00:00,2021-02-17 00:00:00,arima, ,,0.25158315164176415
BLK,110,7.778678639331852,2020-09-11 00:00:00,2021-02-17 00:00:00,prophet, ,,0.25158315164176415
BLK,114,21.803920952618043,2020-09-04 00:00:00,2021-02-17 00:00:00,lstm1,loss stopped changing,11.0,0.25158315164176415
BLK,114,22.832546878111,2020-09-04 00:00:00,2021-02-17 00:00:00,lstm2,loss stopped changing,13.0,0.25158315164176415
TGT,116,2.814418816351077,2020-09-15 00:00:00,2021-02-18 00:00:00,arima, ,,0.17540673249040517
TGT,116,3.124821443334024,2020-09-15 00:00:00,2021-02-18 00:00:00,prophet, ,,0.17540673249040517
TGT,120,20.17076103992622,2020-09-09 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,12.0,0.17540673249040517
TGT,120,21.091864583719698,2020-09-09 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,11.0,0.17540673249040517
CVS,118,30.771233805924908,2020-09-18 00:00:00,2021-02-18 00:00:00,arima, ,,0.1721022484114566
CVS,118,48.53375220281545,2020-09-18 00:00:00,2021-02-18 00:00:00,prophet, ,,0.1721022484114566
CVS,122,22.94126215831868,2020-09-14 00:00:00,2021-02-18 00:00:00,lstm1,loss started increasing,5.0,0.1721022484114566
CVS,122,26.39157281156913,2020-09-14 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,11.0,0.1721022484114566
LMT,113,182.80085217210856,2020-09-17 00:00:00,2021-02-18 00:00:00,arima, ,,0.22936605932605142
LMT,113,186.51037820889977,2020-09-17 00:00:00,2021-02-18 00:00:00,prophet, ,,0.22936605932605142
LMT,117,113.7989349361465,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,5.0,0.22936605932605142
LMT,117,128.47167759142047,2020-09-11 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,4.0,0.22936605932605142
GILD,116,15.238129113892162,2020-09-23 00:00:00,2021-02-18 00:00:00,arima, ,,0.2134513841968064
GILD,116,20.20973873990754,2020-09-23 00:00:00,2021-02-18 00:00:00,prophet, ,,0.2134513841968064
GILD,120,17.941221778591437,2020-09-17 00:00:00,2021-02-18 00:00:00,lstm1,loss started increasing,4.0,0.2134513841968064
GILD,120,15.753727918810087,2020-09-17 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,8.0,0.2134513841968064
CB, , , , , ,error during data_prep,,
TMUS,114,3.878180109482458,2020-09-18 00:00:00,2021-02-18 00:00:00,arima, ,,0.24971194251853454
TMUS,114,5.444388189402025,2020-09-18 00:00:00,2021-02-18 00:00:00,prophet, ,,0.24971194251853454
TMUS,118,27.193942478296872,2020-09-14 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,13.0,0.24971194251853454
TMUS,118,24.549638982311194,2020-09-14 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,14.0,0.24971194251853454
CME,112,72.11989786008162,2020-09-10 00:00:00,2021-02-17 00:00:00,arima, ,,0.3976872458160473
CME,112,87.49072085518544,2020-09-10 00:00:00,2021-02-17 00:00:00,prophet, ,,0.3976872458160473
CME,116,60.10560698271667,2020-09-03 00:00:00,2021-02-17 00:00:00,lstm1,loss stopped changing,13.0,0.3976872458160473
CME,116,61.6714065657351,2020-09-03 00:00:00,2021-02-17 00:00:00,lstm2,loss stopped changing,12.0,0.3976872458160473
GM,117,25.90895940457576,2020-09-21 00:00:00,2021-02-18 00:00:00,arima, ,,0.36224486213376555
GM,117,29.176972813794166,2020-09-21 00:00:00,2021-02-18 00:00:00,prophet, ,,0.36224486213376555
GM,121,26.857788301551288,2020-09-15 00:00:00,2021-02-18 00:00:00,lstm1,loss started increasing,6.0,0.36224486213376555
GM,121,28.50264045019783,2020-09-15 00:00:00,2021-02-18 00:00:00,lstm2,loss started increasing,6.0,0.36224486213376555
COP,113,6.357526568489867,2020-09-17 00:00:00,2021-02-17 00:00:00,arima, ,,0.3783966004825806
COP,113,7.895009457020801,2020-09-17 00:00:00,2021-02-17 00:00:00,prophet, ,,0.3783966004825806
COP,117,10.899671303124004,2020-09-11 00:00:00,2021-02-17 00:00:00,lstm1,loss stopped changing,8.0,0.3783966004825806
COP,117,10.122566803883164,2020-09-11 00:00:00,2021-02-17 00:00:00,lstm2,loss stopped changing,8.0,0.3783966004825806
SO,112,24.930106415051405,2020-09-14 00:00:00,2021-02-17 00:00:00,arima, ,,0.3822251866395613
SO,112,25.216296182165433,2020-09-14 00:00:00,2021-02-17 00:00:00,prophet, ,,0.3822251866395613
SO,116,32.09612229111637,2020-09-08 00:00:00,2021-02-17 00:00:00,lstm1,loss started increasing,8.0,0.3822251866395613
SO,116,27.84953662044186,2020-09-08 00:00:00,2021-02-17 00:00:00,lstm2,loss started increasing,6.0,0.3822251866395613
FDX,116,5.538309290991639,2020-09-21 00:00:00,2021-02-17 00:00:00,arima, ,,0.29805694896203794
FDX,116,6.6461766238290005,2020-09-21 00:00:00,2021-02-17 00:00:00,prophet, ,,0.29805694896203794
FDX,120,12.117756296693315,2020-09-15 00:00:00,2021-02-17 00:00:00,lstm1,loss stopped changing,32.0,0.29805694896203794
FDX,120,11.759754429209348,2020-09-15 00:00:00,2021-02-17 00:00:00,lstm2,loss stopped changing,33.0,0.29805694896203794
TWTR,120,8.758038749564324,2020-09-16 00:00:00,2021-02-18 00:00:00,arima, ,,0.5225146679346866
TWTR,120,10.796361717604114,2020-09-16 00:00:00,2021-02-18 00:00:00,prophet, ,,0.5225146679346866
TWTR,124,16.60121907180742,2020-09-10 00:00:00,2021-02-18 00:00:00,lstm1,loss stopped changing,4.0,0.5225146679346866
TWTR,124,16.742526007467433,2020-09-10 00:00:00,2021-02-18 00:00:00,lstm2,loss stopped changing,5.0,0.5225146679346866
REGN,110,6.889402874809567,2020-09-21 00:00:00,2021-02-18 00:00:00,arima, ,,0.2921411260738055
